grid_index,band,frequency(THz),tau_N_RTA(ps),tau_U_RTA(ps),tau_RTA_NU(ps),tau_MC(ps)
75,1,10.7841,146.222,402.881,107.284,81.7405
75,2,19.2563,83.5024,460.477,70.6846,140.512
75,3,22.6467,241.639,43.7932,37.0741,50.0774
75,4,31.8162,22.2227,15.5158,9.13663,115.982
75,5,40.616,23.9059,28.7924,13.0613,795.54
75,6,45.098,22.4401,5.84058,4.63438,87.4793
76,1,12.0632,138.712,294.53,94.3001,199.507
76,2,20.0157,99.2193,506.829,82.9756,142.779
76,3,21.9101,155.711,43.8051,34.1874,120.768
76,4,33.9803,18.4223,11.6398,7.13298,150.047
76,5,40.5096,20.2511,6.5201,4.93214,66.8502
76,6,44.563,25.5021,8.39115,6.3137,21.8785
77,1,13.2272,130.83,315.886,92.5136,172.982
77,2,20.5811,132.007,365.781,97.0002,99.8807
77,3,21.1711,185.415,48.5385,38.4682,54.8965
77,4,35.9949,18.6771,10.2938,6.63627,83.7178
77,5,40.4344,17.2944,13.5397,7.59421,375.262
77,6,43.7878,25.046,7.35359,5.68458,18.7044
78,1,14.1804,134.002,256.172,87.9802,172.869
78,2,20.51,151.816,58.2104,42.077,71.7056
78,3,20.9549,167.194,304.475,107.928,232.215
78,4,37.8144,20.4044,9.01946,6.25468,58.2566
78,5,40.3856,26.6865,17.243,10.4749,444.931
78,6,42.8044,17.2186,2.50381,2.18594,50.656
79,1,14.7553,173.84,190.038,90.7894,199.095
79,2,20.0839,132.078,64.5946,43.3793,224.239
79,3,21.1403,208.899,258.998,115.633,156.858
79,4,39.297,26.7103,10.0483,7.3015,144.846
79,5,40.2954,11.697,30.6969,8.46965,7018.16
79,6,41.8086,5.24206,4.90489,2.53394,155.416
80,1,14.7568,173.862,189.832,90.7482,581.345
80,2,20.0827,131.734,62.9185,42.5811,379.938
80,3,21.1393,205.963,259.468,114.82,135.529
80,4,39.4235,23.064,9.37341,6.66478,83.6828
80,5,40.131,11.571,34.5645,8.66894,1694.44
80,6,41.8453,5.65879,5.11655,2.68701,119.437
81,1,14.1842,134.785,254.682,88.1391,203.657
81,2,20.5071,156.161,57.9272,42.2535,136.603
81,3,20.9522,165.232,299.007,106.423,290.698
81,4,37.8889,18.8467,8.75657,5.97872,57.4208
81,5,40.2895,29.7566,26.6525,14.0596,571.072
81,6,42.8222,17.0809,2.58067,2.24195,27.5757
82,1,13.2324,130.919,312.194,92.2387,106.414
82,2,20.5769,130.599,348.6,95.0061,253.562
82,3,21.1674,191.022,51.0631,40.2923,114.306
82,4,36.0427,18.1902,9.41855,6.20547,71.1882
82,5,40.3836,20.1185,19.2482,9.83687,554.701
82,6,43.7845,25.585,7.39967,5.73965,171.33
83,1,12.0693,139.223,297.789,94.8696,150.561
83,2,20.0107,98.4153,481.728,81.7202,177.619
83,3,21.9061,191.707,45.7683,36.9474,108.243
83,4,34.0123,18.1868,11.495,7.04329,105.343
83,5,40.4863,21.8851,13.3471,8.29079,421.966
83,6,44.5453,25.6968,8.45363,6.36101,30.6089
84,1,10.7908,146.93,402.985,107.672,174.956
